KAB/KOTA,ANAK JALANAN,TUNA SUSILA,PENGEMIS,GELANDANGAN DAN GELANDANGAN PSIKOTIK,ANAK BALITA TERLANTAR,ANAK TERLANTAR,ANAK BERHADAPAN DENGAN HUKUM,ANAK DENGAN KEDISABILITASAN,ANAK YANG MENJADI KORBAN TEINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,ANAK YANG MEMERLUKAN PERLINDUNGAN KHUSUS,LANJUT USIA TERLANTAR,PENYANDANG DISABILITAS & BEKAS PENDERITA PENYAKIT KRONIS,PEMULUNG,KELOMPOK MINORITAS,BEKAS WARGA BINAAN LEMBAGA PEMASYARAKATAN,ORANG DENGAN HIV,ORANG DENGAN AIDS,KORBAN PENYALAGUNAAN NAPZA,KORBAN TRAFFICKING,KORBAN TINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,PEKERJA MIGRAN BERMASALAH SOSIAL,KORBAN BENCAN ALAM,KORBAN BENCANA SOSIAL / PENGUNGSI,PEREMPUAN RAWAN SOSIAL EKONOMI,KELUARGA BERMASALAH SOSIAL PSIKOLOGIS,MASYARAKAT DAERAH TERTINGGAL DAN TERPENCIL
Pacitan,,,6,32,,,4,992,2,,1499,4150,130,,115,39,79,,,,490,99,,1859,104,139
Ponorogo,52,,153,114,562,983,27,1392,40,3,7916,5033,267,,163,92,384,27,133,108,432,440,724,11,3,267
Trenggalek,16,,68,42,4471,19633,20,673,38,111,3868,4798,27,12,187,36,108,352,,46,20,308,,8512,102,1268
Tulungagung,6,162,32,13,87,323,23,0,2,0,1918,823,,,165,441,747,37,,51,4,550,1,2260,60,
Blitar,46,,88,75,94,188,74,1772,14,41,619,4539,229,26,636,83,866,206,11,21,57,595,22,1397,237,
Kediri,184,107,154,132,8,406,68,1829,29,52,2507,3965,490,88,715,222,501,233,9,86,62,167,13,10686,750,
Malang,210,,220,139,57,4788,6,453,27,18,4541,22041,,,1418,234,1414,135,,5,50,285,21,12438,907,
Lumajang,15,116,97,6,21,147,20,632,21,13,1811,3848,124,,314,164,200,110,2,30,131,130,23,909,182,
Jember,171,172,332,265,142,3062,47,2590,31,46,16288,4185,776,489,709,639,890,555,21,120,101,382,44,6012,,
Banyuwangi,,,297,267,333,1108,4,3001,13,42,9393,3493,,,84,361,962,288,,37,0,590,,5684,298,1310
Bondowoso,84,50,100,212,100,93,6,136,2,38,3810,1866,,502,50,7,70,40,,20,20,,,,,
Situbondo,10,20,20,,0,20,0,70,0,0,33,70,,,10,199,99,37,,,0,,,,,40
Probolinggo,431,136,89,76,593,1300,0,3270,14,0,5446,3141,,,615,229,591,118,,,373,272,,4441,235,
Pasuruan,120,18,43,58,58,165,23,848,7,42,1803,1363,288,240,41,244,1476,7,2,47,0,26,55,1450,191,
Sidoarjo,145,20,125,102,81,243,100,0,0,0,1292,2585,,,40,437,1041,38,,,0,412,47,2325,66,
Mojokerto,102,99,108,62,1031,5301,15,1028,33,47,7761,3935,248,130,373,49,185,47,5,16,26,426,,4888,181,
Jombang,16,71,71,179,40,94,51,385,37,12,2983,2373,127,47,130,161,283,36,2,86,40,,4,501,84,
Nganjuk,91,,84,97,48,3110,95,1857,26,0,4058,2705,,27,255,183,547,268,,91,0,120,78,5600,381,
Madiun,93,122,152,14,349,2780,0,578,26,0,2968,2637,,,243,24,266,3,,90,52,570,,3253,100,
Magetan,38,90,7,30,0,5497,26,900,16,23,5695,6286,109,,249,43,150,3,3,52,0,600,,474,,
Ngawi,86,12,106,72,301,10807,4,481,4,0,14352,3626,215,,2400,92,224,,,1,0,1461,6,5854,,
Bojonegoro,36,61,153,25,223,633,9,1515,16,51,4904,5505,436,54,211,163,367,10,,47,8,1080,18,4858,190,16
Tuban,31,62,194,196,280,685,65,867,35,53,7374,4421,645,7,398,78,581,81,3,25,25,173,2,5026,75,
Lamongan,26,11,10,3,0,3108,4,232,12,0,3188,899,24,,,164,710,0,,,30,35340,29,24,,
Gresik,112,122,232,53,4830,46360,42,498,13,18,5283,3017,160,241,77,164,898,53,,148,215,4350,68,4734,56,
Bangkalan,12,5,30,12,55,111,1,326,0,0,472,1431,37,,35,55,74,,,15,47,781,44,2141,24,
Sampang,36,1,14,11,64,6920,2,616,1,9,3005,2806,38,,318,2,112,3,,,350,249,93,5895,,
Pameksan,,,174,7,701,6988,0,1455,28,0,2992,6208,15,,,6,16,3,,,584,559,7,3,1570,1
Sumenep,19,,114,20,6,498,0,272,0,0,3267,1760,425,,66,25,87,6,,148,267,138,,3153,14,
Kota Kediri,18,9,8,16,7,59,4,153,11,8,423,200,12,,41,214,111,558,,18,0,10,,334,28,
Kota Blitar,15,71,4,4,25,237,4,90,2,0,342,354,11,,119,57,33,6,,,1,4,1,820,205,
Kota Malang,104,4,71,10,5,,25,132,1,5,1179,1397,120,39,44,311,684,878,1,4,0,2,196,919,,
Kota Probolinggo,,,95,,2,384,10,202,24,0,231,1007,,,14,47,45,,,29,0,,,5616,,
Kota Pasuruan,18,,74,1,5,28,4,28,0,14,219,206,38,,100,31,153,1,,1,0,,,2555,14,
Kota Mojokerto,6,,58,3,8,120,0,50,0,3,1344,375,33,,,135,41,,,2,0,,,965,4,
Kota Madiun,3,4,33,6,89,282,2,157,1,8,771,508,64,,51,125,106,15,,,0,5,,829,29,
Kota Surabaya,50,5,62,17,19,1059,8,810,0,56,6912,6514,175,,44,953,2170,31,,,0,26,1,2168,78,
Kota Batu,3,4,5,1,7,47,3,232,2,1,339,552,57,,20,45,147,6,,2,1,,4,192,3,
